Code,DelistingDate,ListingDate,ListingDateSource,Market,Name,SecuGroup,SnapshotDate,Source,IsDelisted
001630,,1976-06-30,FDR_DESC,KOSPI,종근당홀딩스,주권,2026-09-06,KOSPI-DESC,False
001670,2005-04-28,1975-12-27,FDR_DELISTING,KOSPI,경남모직,주권,2026-09-06,KRX-DELISTING,True
001675,2005-04-28,1990-09-21,FDR_DELISTING,KOSPI,경남모직(1우),주권,2026-09-06,KRX-DELISTING,True
001680,,1970-04-01,FDR_DESC,KOSPI,대상,주권,2026-09-06,KOSPI-DESC,False
001685,,2014-06-17,FDR_FIRST_TRADE,KOSPI,대상우,주권,2026-09-06,KOSPI-DESC,False
001687,2011-05-09,1999-04-29,FDR_DELISTING,KOSPI,대상2우B,주권,2026-09-06,KRX-DELISTING,True
001689,2017-04-28,2007-04-27,FDR_DELISTING,KOSPI,대상3우B,주권,2026-09-06,KRX-DELISTING,True
001690,2002-01-18,1972-10-17,FDR_DELISTING,KOSPI,두산테크팩,주권,2026-09-06,KRX-DELISTING,True
001695,2002-01-18,1987-12-21,FDR_DELISTING,KOSPI,두산테크팩(1우),주권,2026-09-06,KRX-DELISTING,True
001697,2002-01-18,1999-11-26,FDR_DELISTING,KOSPI,두산테크팩(2우B),주권,2026-09-06,KRX-DELISTING,True
001700,1999-02-12,1977-12-24,FDR_DELISTING,KOSPI,공영토건,주권,2026-09-06,KRX-DELISTING,True
001720,,1987-08-24,FDR_DESC,KOSPI,신영증권,주권,2026-09-06,KOSPI-DESC,False
001725,2024-04-26,1988-08-16,FDR_DELISTING,KOSPI,신영증권우,주권,2026-09-06,KRX-DELISTING,True
001740,,1977-06-30,FDR_DESC,KOSPI,SK네트웍스,주권,2026-09-06,KOSPI-DESC,False
001745,2023-07-17,1989-12-21,FDR_DELISTING,KOSPI,SK네트웍스우,주권,2026-09-06,KRX-DELISTING,True
001750,,1988-03-04,FDR_DESC,KOSPI,한양증권,주권,2026-09-06,KOSPI-DESC,False
001755,,2014-06-17,FDR_FIRST_TRADE,KOSPI,한양증권우,주권,2026-09-06,KOSPI-DESC,False
