Code,Name,ListingDate,DelistingDate,Source
011070,LG이노텍,2008-07-24,,KOSPI-DESC
011090,에넥스,1995-07-08,,KOSPI-DESC
011150,CJ씨푸드,1988-11-26,,KOSPI-DESC
011170,롯데케미칼,1991-05-30,,KOSPI-DESC
011200,HMM,1995-10-05,,KOSPI-DESC
011210,현대위아,2011-02-21,,KOSPI-DESC
011230,삼화전자,1987-05-25,,KOSPI-DESC
011280,태림포장,1988-12-20,,KOSPI-DESC
011300,우성머티리얼스,1995-11-10,,KOSPI-DESC
011330,유니켐,1989-12-14,,KOSPI-DESC
011390,부산산업,1990-09-14,,KOSPI-DESC
011420,갤럭시아에스엠,1989-11-14,,KOSPI-DESC
011500,한농화성,2003-01-09,,KOSPI-DESC
011690,와이투솔루션,1995-12-21,,KOSPI-DESC
011700,한신기계,1987-07-24,,KOSPI-DESC
011760,현대코퍼레이션,1977-12-01,,KOSPI-DESC
011780,금호석유화학,1988-01-22,,KOSPI-DESC
011790,SKC,1997-07-18,,KOSPI-DESC
011810,STX,1990-09-12,,KOSPI-DESC
011930,신성이엔지,1996-07-31,,KOSPI-DESC
012030,DB,1993-01-06,,KOSPI-DESC
012160,영흥,2010-01-25,,KOSPI-DESC
012170,아센디오,1989-12-20,,KOSPI-DESC
012200,계양전기,1988-07-06,,KOSPI-DESC
012280,영화금속,1990-01-25,,KOSPI-DESC
012320,경동인베스트,1997-03-07,,KOSPI-DESC
012330,현대모비스,1989-09-05,,KOSPI-DESC
012450,한화에어로스페이스,1987-05-27,,KOSPI-DESC
012510,더존비즈온,1988-10-28,2026-07-15,KRX-DELISTING
012600,청호ICT,1990-07-10,2025-05-27,KRX-DELISTING
012610,경인양행,1995-10-05,,KOSPI-DESC
012630,HDC,1996-10-16,,KOSPI-DESC
012690,모나리자,1988-10-14,,KOSPI-DESC
012750,에스원,1996-01-30,,KOSPI-DESC
012800,대창,1989-12-05,,KOSPI-DESC
013000,세우글로벌,1989-09-05,,KOSPI-DESC
013360,일성건설,1989-12-02,,KOSPI-DESC
013520,화승코퍼레이션,1991-02-22,,KOSPI-DESC
013570,디와이,1989-05-30,,KOSPI-DESC
013580,계룡건설,1996-01-30,,KOSPI-DESC
013700,까뮤이앤씨,1989-11-30,,KOSPI-DESC
013870,지엠비코리아,2012-11-20,,KOSPI-DESC
013890,지누스,2019-10-30,,KOSPI-DESC
014130,한익스프레스,1989-07-25,,KOSPI-DESC
014160,대영포장,1990-03-06,,KOSPI-DESC
014280,금강공업,1988-09-10,,KOSPI-DESC
014440,영보화학,1997-08-27,,KOSPI-DESC
014530,극동유화,1991-01-31,,KOSPI-DESC
014580,태경비케이,1991-03-07,,KOSPI-DESC
014680,한솔케미칼,1989-05-20,,KOSPI-DESC
014710,사조씨푸드,2012-06-29,,KOSPI-DESC
014790,HL D&I,1994-08-12,,KOSPI-DESC
014820,동원시스템즈,1994-03-29,,KOSPI-DESC
014830,유니드,2004-12-03,,KOSPI-DESC
014910,성문전자,1990-03-24,,KOSPI-DESC
014990,인디에프,1989-06-20,,KOSPI-DESC
015020,이스타코,1988-12-23,,KOSPI-DESC
015230,대창단조,1989-07-25,,KOSPI-DESC
015260,에이엔피,1988-01-18,,KOSPI-DESC
015360,INVENI,1996-12-24,,KOSPI-DESC
015590,DKME,1989-05-27,,KOSPI-DESC
015760,한국전력,1989-08-10,,KOSPI-DESC
015860,일진홀딩스,1990-03-22,,KOSPI-DESC
015890,태경산업,1996-01-30,,KOSPI-DESC
016090,대현,1990-09-20,,KOSPI-DESC
016360,삼성증권,1988-03-28,,KOSPI-DESC
016380,KG스틸,1986-02-03,,KOSPI-DESC
016450,한세예스24홀딩스,2000-01-06,,KOSPI-DESC
016580,환인제약,1996-07-03,,KOSPI-DESC
016590,신대양제지,1995-12-21,,KOSPI-DESC
016610,DB증권,1988-06-27,,KOSPI-DESC
016710,대성홀딩스,1999-12-22,,KOSPI-DESC
016740,두올,2016-07-29,,KOSPI-DESC
016800,퍼시스,1996-12-24,,KOSPI-DESC
016880,웅진,1994-11-05,,KOSPI-DESC
017040,광명전기,1990-09-14,,KOSPI-DESC
017180,명문제약,2008-07-10,,KOSPI-DESC
017370,우신시스템,2002-05-28,,KOSPI-DESC
017390,서울가스,1995-08-18,,KOSPI-DESC
017550,수산세보틱스,1991-08-30,,KOSPI-DESC
017670,SK텔레콤,1989-11-07,,KOSPI-DESC
017800,현대엘리베이터,1996-07-03,,KOSPI-DESC
017810,풀무원,1995-10-05,,KOSPI-DESC
017860,DS단석,2023-12-22,,KOSPI-DESC
017900,광전자,1996-10-16,,KOSPI-DESC
017940,E1,1997-08-27,,KOSPI-DESC
017960,한국카본,1995-07-08,,KOSPI-DESC
018250,애경산업,2018-03-22,,KOSPI-DESC
018260,삼성에스디에스,2014-11-14,,KOSPI-DESC
018470,조일알미늄,1988-11-22,,KOSPI-DESC
018500,동원모빌리티,1995-11-10,,KOSPI-DESC
018670,SK가스,1997-08-27,,KOSPI-DESC
018880,한온시스템,1996-07-31,,KOSPI-DESC
019170,신풍제약,1990-01-20,,KOSPI-DESC
019180,티에이치엔,1996-07-31,,KOSPI-DESC
019440,세아특수강,2011-06-01,2026-02-12,KRX-DELISTING
019490,엑시큐어하이트론,1998-11-04,,KOSPI-DESC
